recno,Seq,Name,PapI,RSpec,Type,CHb,n_Ne-,Ne-,n_TOIII,TOIII,n_TNII,TNII,Excit,n_He,He,n_C,C,n_N,N,n_O,O,n_Ne,Ne,n_S,S,n_Ar,Ar,C/N,C/O,N/O,C+N,C+N+O
39,2,SMP_LMC_2,"    ",mea,n,0.01,*,5000," ",12100,:,12100,1.1,~,10.96," ",0.0," ",6.95," ",8.03,<,6.25,<,6.62,:,6.0,0.0,0.0,-1.09,6.95,8.07
40,3,SMP_LMC_3,"    ",mea,n,0.06," ",4000," ",14000,:,14000,1.8," ",10.96," ",0.0," ",7.03," ",7.75," ",6.82," ",6.76," ",5.35,0.0,0.0,-0.71,7.03,7.82
41,4,SMP_LMC_4,"    ","   ",n,0.32,*,5000," ",11800,:,11800,6.7," ",11.07," ",0.0," ",7.93," ",8.61," ",7.78,<,7.87,:,5.91,0.0,0.0,-0.68,7.93,8.69
42,5,SMP_LMC_5,"    ",mea,n,0.09,*,5000," ",13200,:,13200,1.2," ",10.79," ",0.0," ",6.34," ",8.0," ",6.64,<,6.44,:,5.35,0.0,0.0,-1.66,6.34,8.01
43,6,SMP_LMC_6,"    ",mea,n,0.04," ",11800," ",13300,:,13300,6.1," ",10.97," ",0.0,:,7.52,:,8.51,:,7.75,:,7.09,:,5.99,0.0,0.0,-0.99,7.52,8.55
44,7,SMP_LMC_7,"    ",mea,I,0.0," ",1000," ",19600,:,19600,8.8,~,11.15," ",0.0,:,8.58,:,8.33,:,7.44,:,7.41,:,6.08,0.0,0.0,0.26,8.58,8.77
45,8,SMP_LMC_8,"    ",mea,I,0.01,*,5000," ",11100,:,11100,2.5," ",11.14," ",0.0," ",8.0," ",8.16," ",7.26,+,8.04,:,6.22,0.0,0.0,-0.16,8.0,8.38
46,9,SMP_LMC_9,"    ",vas,i,0.25," ",3000," ",14800,:,14800,6.6," ",10.97," ",0.0,:,7.82,:,8.31,:,7.74,+,6.63,:,6.04,0.0,0.0,-0.48,7.82,8.43
47,10,SMP_LMC_10,"    ",vas,I,0.26," ",2800," ",17900,:,17900,0.0," ",11.0," ",0.0,:,7.55,:,7.82,:,7.21,+,6.0,:,5.81,0.0,0.0,-0.27,7.55,8.01
48,11,SMP_LMC_11,"    ","   ",i,1.06," ",6200," ",29100," ",20800,5.0," ",10.78," ",0.0," ",7.1," ",7.18," ",6.74," ",6.06,:,4.99,0.0,0.0,-0.08,7.1,7.44
49,12,SMP_LMC_13,(P1),"   ",n,0.0,*,5000," ",13000,:,13000,6.3," ",11.03," ",7.92,:,7.19," ",8.39," ",7.6,<,7.85," ",5.87,0.72,-0.47,-1.19,7.99,8.53
50,13,SMP_LMC_14,"    ",mea,I,0.02," ",300," ",21000,:,21000,10.0,~,11.32," ",0.0,:,8.52,:,8.15,:,7.72,:,7.52,:,6.31,0.0,0.0,0.37,8.52,8.67
51,14,SMP_LMC_15,"    ",mea,n,0.08," ",3800," ",14000,:,14000,6.1," ",11.03," ",0.0,:,7.47,:,8.26,:,7.57,+,6.41,:,5.97,0.0,0.0,-0.79,7.47,8.32
52,15,SMP_LMC_16,"    ","   ",I,0.68," ",600," ",19800," ",12000,8.2," ",11.0," ",0.0," ",8.65," ",8.32," ",7.38," ",7.29," ",6.0,0.0,0.0,0.33,8.65,8.81
53,16,SMP_LMC_17,"    ","   ",I,0.85," ",400,:,13500," ",13500,6.0,~,11.02," ",0.0," ",8.62," ",8.25," ",7.92," ",6.88," ",6.2,0.0,0.0,0.38,8.62,8.77
54,17,SMP_LMC_18,"    ",vas,I,0.2,*,5000," ",16600,:,16600,0.0,~,11.08," ",0.0,<,7.49,+,7.87," ",7.0,<,8.3,<,5.56,0.0,0.0,-0.38,7.49,8.02
55,18,SMP_LMC_19,"    ",mea,n,0.04," ",2000," ",13900,:,13900,6.9," ",11.08," ",0.0,:,7.82,:,8.5,:,7.77,+,6.62,:,6.18,0.0,0.0,-0.68,7.82,8.58
56,19,SMP_LMC_20,"    ",mea,I,0.02," ",2200," ",19300," ",13400,8.2,~,11.06," ",0.0,:,8.39,:,8.12,:,7.59,:,7.24,:,6.22,0.0,0.0,0.27,8.39,8.58
57,20,SMP_LMC_21,"    ",vas,I,0.16," ",2800," ",25200,:,25200,7.4," ",11.11," ",0.0," ",8.37," ",7.86," ",7.19," ",7.21," ",5.98,0.0,0.0,0.51,8.37,8.48
58,21,SMP_LMC_23,"    ",mea,n,0.02,*,5000," ",11300,:,11300,0.0," ",10.91," ",0.0,:,7.1,:,8.3,:,7.31,<,7.51,:,5.98,0.0,0.0,-1.2,7.1,8.33
59,22,SMP_LMC_24,"    ",mea,n,0.01," ",800," ",12800,:,12800,8.8,+,11.15," ",0.0," ",7.96," ",8.61," ",8.03,+,6.59,:,6.36,0.0,0.0,-0.66,7.96,8.7
60,23,SMP_LMC_25,"    ","   ",n,0.51," ",16600," ",13000," ",10900,3.5," ",10.9," ",0.0," ",7.26," ",8.17," ",7.28," ",6.73," ",5.71,0.0,0.0,-0.91,7.26,8.22
61,24,SMP_LMC_26,"    ",mon,i,0.0,*,5000,:,13600," ",13600,0.0," ",9.85," ",0.0," ",6.93," ",7.06,:,6.9," ",0.0," ",0.0,0.0,0.0,-0.13,6.93,7.3
62,25,SMP_LMC_27,"    ","   ",n,0.12,*,5000," ",11100,:,11100,3.5," ",10.98," ",0.0," ",7.1," ",8.31," ",7.42,+,7.68,:,6.06,0.0,0.0,-1.2,7.1,8.33
63,26,SMP_LMC_29,"    ",mea,I,0.01," ",4100," ",19800,:,19800,8.2," ",11.15," ",0.0," ",8.79," ",8.05," ",7.22," ",7.88," ",6.27,0.0,0.0,0.74,8.79,8.86
64,27,SMP_LMC_30,"    ","   ",I,0.39," ",400," ",15700," ",12300,8.0," ",11.15," ",0.0," ",8.55," ",8.24," ",7.78," ",7.29," ",6.19,0.0,0.0,0.32,8.55,8.72
65,28,SMP_LMC_31,"    ",mea,i,0.79," ",6600," ",14000," ",16100,0.4," ",10.79," ",0.0," ",7.03," ",7.29," ",5.58," ",6.27,:,5.56,0.0,0.0,-0.26,7.03,7.48
66,29,SMP_LMC_32,"    ",mea,n,0.09," ",3900," ",16100,:,16100,8.3," ",11.08," ",0.0," ",7.73," ",8.39," ",7.56," ",7.41," ",6.05,0.0,0.0,-0.65,7.73,8.47
67,30,SMP_LMC_33,"    ","   ",n,0.63," ",5600," ",13400," ",7800,6.5," ",10.9," ",0.0," ",7.84," ",8.91," ",8.21," ",6.83," ",5.9,0.0,0.0,-1.07,7.84,8.95
68,31,SMP_LMC_35,"    ",mea,i,0.04," ",1500," ",13500,:,13500,5.3," ",10.97," ",0.0,:,7.88,:,8.37,:,7.48,:,7.38,:,6.08,0.0,0.0,-0.49,7.88,8.49
69,32,SMP_LMC_36,"    ",mon,n,0.41,*,5000," ",15500,:,15500,6.5," ",11.0," ",0.0," ",7.72," ",8.36," ",7.72," ",0.0," ",5.64,0.0,0.0,-0.64,7.72,8.45
70,33,SMP_LMC_37,"    ",mea,i,0.03," ",5900," ",14300," ",11000,6.8," ",10.93," ",0.0,:,8.27,:,8.52,:,7.62,:,7.36,:,6.0,0.0,0.0,-0.25,8.27,8.72
71,34,SMP_LMC_38,"    ",mea,I,0.02," ",8800," ",13100,:,13100,0.0," ",11.1," ",0.0,:,7.73,:,8.27,:,7.55,:,7.37,:,6.25,0.0,0.0,-0.54,7.73,8.38
72,35,SMP_LMC_40,"    ","   ",I,0.16," ",800," ",13500,~,13500,7.5," ",11.02," ",0.0," ",8.14," ",8.56," ",7.84," ",7.56," ",5.98,0.0,0.0,-0.42,8.14,8.7
73,36,SMP_LMC_41,"    ",mea,I,0.01," ",1100," ",15400,:,15400,7.6," ",11.15," ",0.0,:,8.39,:,8.38,:,7.63,:,7.54,:,6.17,0.0,0.0,0.01,8.39,8.69
74,37,SMP_LMC_42,"    ",mea,I,0.05," ",2500," ",15100,:,15100,0.0,~,11.1," ",0.0,:,7.88,:,8.03,:,7.12,<,8.15,:,5.8,0.0,0.0,-0.15,7.88,8.26
75,38,SMP_LMC_44,"    ","   ",I,0.13," ",900," ",16700," ",11300,7.5," ",11.04," ",0.0," ",8.3," ",8.47," ",8.01," ",6.89," ",6.08,0.0,0.0,-0.17,8.3,8.69
